State	County	Year	Est. Population
West Virginia	Cabell County	2010	96316
West Virginia	Cabell County	2011	96369
West Virginia	Cabell County	2012	96558
West Virginia	Cabell County	2013	96902
West Virginia	Cabell County	2014	96987
West Virginia	Cabell County	2015	96827
West Virginia	Balance of Cabell County	2010	44733
West Virginia	Balance of Cabell County	2011	44776
West Virginia	Balance of Cabell County	2012	44863
West Virginia	Balance of Cabell County	2013	45031
West Virginia	Balance of Cabell County	2014	45160
West Virginia	Balance of Cabell County	2015	45162
West Virginia	Calhoun County	2010	7627
West Virginia	Calhoun County	2011	7643
West Virginia	Calhoun County	2012	7644
West Virginia	Calhoun County	2013	7598
West Virginia	Calhoun County	2014	7540
West Virginia	Calhoun County	2015	7534
West Virginia	Balance of Calhoun County	2010	7070
West Virginia	Balance of Calhoun County	2011	7085
West Virginia	Balance of Calhoun County	2012	7086
West Virginia	Balance of Calhoun County	2013	7042
West Virginia	Balance of Calhoun County	2014	6988
West Virginia	Balance of Calhoun County	2015	6982
West Virginia	Clay County	2010	9386
West Virginia	Clay County	2011	9371
West Virginia	Clay County	2012	9390
West Virginia	Clay County	2013	9262
West Virginia	Clay County	2014	9204
