City	State	Year	Est. Population
Glen Allen town	Alabama	2013	502
Glen Allen town	Alabama	2014	500
Glen Allen town	Alabama	2015	500
Glenwood town	Alabama	2010	187
Glenwood town	Alabama	2011	186
Glenwood town	Alabama	2012	187
Glenwood town	Alabama	2013	188
Glenwood town	Alabama	2014	188
Glenwood town	Alabama	2015	188
Goldville town	Alabama	2010	55
Goldville town	Alabama	2011	55
Goldville town	Alabama	2012	55
Goldville town	Alabama	2013	55
Goldville town	Alabama	2014	55
Goldville town	Alabama	2015	54
Good Hope town	Alabama	2010	2264
Good Hope town	Alabama	2011	2266
Good Hope town	Alabama	2012	2264
Good Hope town	Alabama	2013	2255
Good Hope town	Alabama	2014	2261
Good Hope town	Alabama	2015	2267
Goodwater town	Alabama	2010	1475
Goodwater town	Alabama	2011	1475
Goodwater town	Alabama	2012	1422
Goodwater town	Alabama	2013	1400
Goodwater town	Alabama	2014	1381
Goodwater town	Alabama	2015	1357
Gordo town	Alabama	2010	1750
Gordo town	Alabama	2011	1747
Gordo town	Alabama	2012	1717
Gordo town	Alabama	2013	1716
Gordo town	Alabama	2014	1702
Gordo town	Alabama	2015	1687
Gordon town	Alabama	2010	330
Gordon town	Alabama	2011	330
Gordon town	Alabama	2012	329
Gordon town	Alabama	2013	331
Gordon town	Alabama	2014	327
Gordon town	Alabama	2015	328
Gordonville town	Alabama	2010	326
Gordonville town	Alabama	2011	325
Gordonville town	Alabama	2012	322
Gordonville town	Alabama	2013	315
Gordonville town	Alabama	2014	312
Gordonville town	Alabama	2015	307
Goshen town	Alabama	2010	266
Goshen town	Alabama	2011	266
Goshen town	Alabama	2012	266
Goshen town	Alabama	2013	268
Goshen town	Alabama	2014	260
Goshen town	Alabama	2015	258
Grant town	Alabama	2010	896
Grant town	Alabama	2011	897
Grant town	Alabama	2012	903
Grant town	Alabama	2013	903
Grant town	Alabama	2014	902
Grant town	Alabama	2015	900
Grimes town	Alabama	2010	558
Grimes town	Alabama	2011	559
Grimes town	Alabama	2012	553
Grimes town	Alabama	2013	556
Grimes town	Alabama	2014	549
Grimes town	Alabama	2015	546
Grove Hill town	Alabama	2010	1569
Grove Hill town	Alabama	2011	1563
Grove Hill town	Alabama	2012	1550
Grove Hill town	Alabama	2013	1524
